INFO 2021-11-07 18:10:28,232 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:13:24,075 article Created four tables
INFO 2021-11-07 18:13:24,083 article User was created
INFO 2021-11-07 18:13:24,086 article User was created
INFO 2021-11-07 18:13:24,094 article User was created
INFO 2021-11-07 18:13:24,104 article User was created
INFO 2021-11-07 18:13:24,108 article User was created
INFO 2021-11-07 18:13:24,113 article Article Космос is published
INFO 2021-11-07 18:13:24,117 article Article Уход за домашними животнами is published
INFO 2021-11-07 18:13:24,121 article Article Рецепты вкусной еды is published
INFO 2021-11-07 18:13:24,124 article Article Садоводство is published
INFO 2021-11-07 18:13:24,125 article Articles were shown
INFO 2021-11-07 18:13:24,125 article Articles were shown
INFO 2021-11-07 18:13:24,126 article Article and all users were shown
INFO 2021-11-07 18:13:24,129 article Comment from user Misha_K has been created
INFO 2021-11-07 18:13:24,130 article Comments were shown
INFO 2021-11-07 18:13:24,132 article like from user Вася228 has been set on Садоводство
INFO 2021-11-07 18:13:24,135 article like from user Вася228 has been set on Рецепты вкусной еды
INFO 2021-11-07 18:13:24,138 article like from user Rombus has been set on Садоводство
INFO 2021-11-07 18:13:24,141 article dislike from user Levinson has been set on Садоводство
INFO 2021-11-07 18:13:26,463 article All users were got
INFO 2021-11-07 18:13:26,463 article All articles were got
INFO 2021-11-07 18:13:28,883 article Text articles was got
INFO 2021-11-07 18:13:28,884 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:13:29,894 article Text articles was got
INFO 2021-11-07 18:13:29,894 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:13:31,127 article Text articles was got
INFO 2021-11-07 18:13:31,128 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:13:31,555 article Text articles was got
INFO 2021-11-07 18:13:31,555 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:13:33,792 article Text articles was got
INFO 2021-11-07 18:13:33,793 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:14:35,429 article Created four tables
INFO 2021-11-07 18:14:35,437 article User was created
INFO 2021-11-07 18:14:35,440 article User was created
INFO 2021-11-07 18:14:35,448 article User was created
INFO 2021-11-07 18:14:35,451 article User was created
INFO 2021-11-07 18:14:35,458 article User was created
INFO 2021-11-07 18:14:35,462 article Article Космос is published
INFO 2021-11-07 18:14:35,470 article Article Уход за домашними животнами is published
INFO 2021-11-07 18:14:35,473 article Article Рецепты вкусной еды is published
INFO 2021-11-07 18:14:35,477 article Article Садоводство is published
INFO 2021-11-07 18:14:35,478 article Articles were shown
INFO 2021-11-07 18:14:35,478 article Articles were shown
INFO 2021-11-07 18:14:35,479 article Article and all users were shown
INFO 2021-11-07 18:14:35,482 article Comment from user Misha_K has been created
INFO 2021-11-07 18:14:35,483 article Comments were shown
INFO 2021-11-07 18:14:35,486 article like from user Вася228 has been set on Садоводство
INFO 2021-11-07 18:14:35,489 article like from user Вася228 has been set on Рецепты вкусной еды
INFO 2021-11-07 18:14:35,493 article like from user Rombus has been set on Садоводство
INFO 2021-11-07 18:14:35,496 article dislike from user Levinson has been set on Садоводство
INFO 2021-11-07 18:14:35,499 article dislike from user Levinson has been set on Космос
INFO 2021-11-07 18:14:35,501 article dislike from user Rombus has been set on Космос
INFO 2021-11-07 18:14:35,504 article like from user Cat has been set on Уход за домашними животнами
INFO 2021-11-07 18:14:38,487 article All users were got
INFO 2021-11-07 18:14:38,488 article All articles were got
INFO 2021-11-07 18:14:40,066 article Text articles was got
INFO 2021-11-07 18:14:40,067 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:14:40,961 article Text articles was got
INFO 2021-11-07 18:14:40,961 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:14:41,843 article Text articles was got
INFO 2021-11-07 18:14:41,843 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:14:42,521 article Text articles was got
INFO 2021-11-07 18:14:42,521 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:25:18,356 article All users were got
INFO 2021-11-07 18:25:18,356 article All articles were got
INFO 2021-11-07 18:26:17,753 article All users were got
INFO 2021-11-07 18:26:17,753 article All articles were got
INFO 2021-11-07 18:26:27,827 article Text articles was got
INFO 2021-11-07 18:26:27,828 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:26:30,698 article Text articles was got
INFO 2021-11-07 18:26:30,699 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:26:31,258 article Text articles was got
INFO 2021-11-07 18:26:31,258 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:26:57,488 article Text articles was got
INFO 2021-11-07 18:26:57,488 article Likes and dislikes of the article Уход за домашними животнами were shown
INFO 2021-11-07 18:26:57,912 article Text articles was got
INFO 2021-11-07 18:26:57,913 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:29:08,751 article All users were got
INFO 2021-11-07 18:29:08,751 article All articles were got
INFO 2021-11-07 18:29:10,275 article Text articles was got
INFO 2021-11-07 18:29:10,276 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:29:28,440 article Text articles was got
INFO 2021-11-07 18:29:28,440 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:29:30,466 article dislike from user Cat has been set on Садоводство
INFO 2021-11-07 18:29:33,088 article Text articles was got
INFO 2021-11-07 18:29:33,088 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:29:33,628 article Text articles was got
INFO 2021-11-07 18:29:33,628 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:32:18,222 article All users were got
INFO 2021-11-07 18:32:18,222 article All articles were got
INFO 2021-11-07 18:32:49,799 article Text articles was got
INFO 2021-11-07 18:32:49,799 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:32:52,301 article Text articles was got
INFO 2021-11-07 18:32:52,301 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:32:58,496 article Text articles was got
INFO 2021-11-07 18:32:58,497 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:33:02,471 article dislike from user Cat has been set on Рецепты вкусной еды
INFO 2021-11-07 18:33:04,872 article Text articles was got
INFO 2021-11-07 18:33:04,872 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:33:05,361 article Text articles was got
INFO 2021-11-07 18:33:05,361 article Likes and dislikes of the article Рецепты вкусной еды were shown
INFO 2021-11-07 18:33:17,164 article User Catt not found
INFO 2021-11-07 18:33:27,780 article All users were got
INFO 2021-11-07 18:33:27,780 article All articles were got
INFO 2021-11-07 18:33:31,537 article Text articles was got
INFO 2021-11-07 18:33:31,538 article Likes and dislikes of the article Космос were shown
INFO 2021-11-07 18:36:06,425 article All users were got
INFO 2021-11-07 18:36:06,425 article All articles were got
INFO 2021-11-07 18:50:14,007 article All users were got
INFO 2021-11-07 18:50:14,007 article All articles were got
INFO 2021-11-07 18:50:53,723 article All users were got
INFO 2021-11-07 18:50:53,723 article All articles were got
INFO 2021-11-07 18:51:14,040 article Text articles was got
INFO 2021-11-07 18:51:14,040 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:51:18,736 article dislike from user Misha_K has been set on Садоводство
INFO 2021-11-07 18:51:18,737 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:51:23,201 article Mark from user Misha_K already set on Садоводство
INFO 2021-11-07 18:51:23,201 article Likes and dislikes of the article Садоводство were shown
INFO 2021-11-07 18:51:26,614 article Mark from user Misha_K already set on Садоводство
INFO 2021-11-07 18:51:26,614 article Likes and dislikes of the article Садоводство were shown
